INSTANCE,UB,TIME,CMAX,GAP
ta01,1231,0.01515007,1448,17.62794476
ta02,1244,0.01328826,1409,13.26366559
ta03,1216,0.013524055,1352,11.18421053
ta04,1175,0.011865139,1412,20.17021277
ta05,1224,0.010402203,1419,15.93137255
ta06,1237,0.01156497,1386,12.04527082
ta07,1227,0.016244888,1388,13.12143439
ta08,1217,0.013168812,1393,14.46179129
ta09,1273,0.01357007,1443,13.35428123
ta10,1241,0.013153076,1465,18.04995971
ta11,1357,0.019394875,1620,19.38098747
ta12,1367,0.021765709,1510,10.4608632
ta13,1342,0.020869255,1670,24.44113264
ta14,1345,0.025203943,1549,15.16728625
ta15,1339,0.02572298,1612,20.38834951
ta16,1360,0.026987076,1643,20.80882353
ta17,1462,0.024672031,1707,16.75786594
ta18,1396,0.026402235,1667,19.41260745
ta19,1332,0.024794102,1594,19.66966967
ta20,1348,0.024674177,1575,16.83976261
ta21,1642,0.039353132,1992,21.31546894
ta22,1600,0.034198999,1852,15.75
ta23,1557,0.037536144,1853,19.01091843
ta24,1644,0.037764072,1924,17.03163017
ta25,1595,0.037990808,1885,18.18181818
ta26,1645,0.030672789,1942,18.05471125
ta27,1680,0.032986879,1978,17.73809524
ta28,1603,0.037750006,1773,10.60511541
ta29,1625,0.043705702,1888,16.18461538
ta30,1584,0.041526079,1871,18.11868687
ta31,1764,0.069977283,2098,18.93424036
ta32,1784,0.066257954,2200,23.31838565
ta33,1791,0.053761959,2163,20.77051926
ta34,1828,0.056858063,2211,20.95185996
ta35,2007,0.061871767,2198,9.516691579
ta36,1819,0.068756819,2200,20.94557449
ta37,1771,0.058607817,2140,20.83568605
ta38,1673,0.050511837,2138,27.79438135
ta39,1795,0.05277586,2249,25.29247911
ta40,1670,0.05915904,2071,24.01197605
ta41,2006,0.09739995,2424,20.83748754
ta42,1939,0.081136942,2377,22.58896338
ta43,1846,0.093677998,2276,23.2936078
ta44,1979,0.081029892,2541,28.3981809
ta45,2000,0.103420258,2464,23.2
ta46,2006,0.08728385,2514,25.32402792
ta47,1889,0.091913223,2257,19.48120699
ta48,1937,0.085446835,2404,24.1094476
ta49,1963,0.074471951,2381,21.29393785
ta50,1923,0.074415922,2435,26.625065
ta51,2760,0.215152025,3119,13.00724638
ta52,2756,0.203903913,3229,17.16255443
ta53,2717,0.204589844,3167,16.56238498
ta54,2839,0.205271006,3206,12.927087
ta55,2679,0.200071812,3250,21.31392311
ta56,2781,0.209696054,3201,15.10248112
ta57,2943,0.192045212,3300,12.1304791
ta58,2885,0.192205906,3281,13.72616984
ta59,2655,0.208687067,3246,22.25988701
ta60,2723,0.166862965,3271,20.12486228
ta61,2868,0.275755167,3456,20.50209205
ta62,2869,0.282363892,3631,26.55977693
ta63,2755,0.340535164,3229,17.20508167
ta64,2702,0.327852964,3222,19.2450037
ta65,2725,0.323195219,3176,16.55045872
ta66,2845,0.327228785,3470,21.96836555
ta67,2825,0.334564209,3312,17.23893805
ta68,2784,0.33208704,3267,17.34913793
ta69,3071,0.328879833,3613,17.64897428
ta70,2995,0.313130856,3786,26.41068447
ta71,5464,2.233780384,6234,14.09224012
ta72,5181,2.080352545,5849,12.89326385
ta73,5568,2.13239789,6367,14.34985632
ta74,5339,1.953099012,5920,10.88218768
ta75,5392,1.853537083,6335,17.4888724
ta76,5342,2.319051981,5965,11.66229876
ta77,5436,2.250112057,6107,12.34363503
ta78,5394,2.102548838,6095,12.99592139
ta79,5358,2.293912888,5935,10.76894364
ta80,5183,2.192857981,5975,15.28072545